sample_id,frame_index,timestamp,clean_path,lightswitch_path,selection_source,phase,event_rank,clean_mean_luminance,lightswitch_mean_luminance,log_brightness_ratio,smoothed_log_brightness_ratio,first_difference
1,0,1305031453.359684,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031453.359684.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031453.359684.png,uniform,,,143.02009440104166,143.02009440104166,0.0,0.0,0.0
2,17,1305031453.927723,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031453.927723.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031453.927723.png,turn_on,before,3,137.11369791666667,164.80007161458335,0.18392255736229898,0.18392255736229898,0.07258434801523646
3,21,1305031454.059654,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031454.059654.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031454.059654.png,turn_on,peak,3,128.70172526041668,206.76305013020834,0.47407592951885347,0.47407592951885347,0.08395464907132877
4,25,1305031454.191658,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031454.191658.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031454.191658.png,turn_on,after,3,134.57660481770833,235.74945963541666,0.5606360367570822,0.5565493433010432,0.0
5,52,1305031455.091700,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031455.091700.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031455.091700.png,uniform,,,139.27578450520832,139.27578450520832,0.0,0.0,-0.02548258135741705
6,76,1305031455.891657,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031455.891657.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031455.891657.png,turn_off,before,2,124.30075520833333,124.30075520833333,0.0,0.0,0.0
7,80,1305031456.027770,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031456.027770.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031456.027770.png,turn_off,peak,2,123.99562174479166,98.52639322916667,-0.2299217905365904,-0.2299217905365904,-0.1166357211513843
8,84,1305031456.159731,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031456.159731.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031456.159731.png,turn_off,after,2,125.39272135416667,67.47361653645834,-0.6197139208970086,-0.6197139208970086,-0.09594091580728159
9,104,1305031457.091655,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031457.091655.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031457.091655.png,uniform,,,139.16545247395834,139.16545247395834,0.0,0.0,0.0
10,156,1305031459.027665,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031459.027665.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031459.027665.png,uniform,,,133.44680013020835,216.47987955729167,0.48379470765890586,0.48379470765890586,-0.040774008959219454
11,184,1305031460.127690,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.127690.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.127690.png,turn_off,before,1,131.50930338541667,119.46181640625,-0.09608080419605634,-0.09608080419605634,-0.07711954753370905
12,188,1305031460.291689,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.291689.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.291689.png,turn_off,peak,1,125.85103190104167,81.936083984375,-0.42915943702167203,-0.42915943702167203,-0.1265418995207201
13,192,1305031460.459620,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.459620.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.459620.png,turn_off,after,1,128.65258463541667,63.67717122395833,-0.7032895022218837,-0.6796168207002689,-0.004002169084554641
14,208,1305031461.027620,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031461.027620.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031461.027620.png,uniform,,,129.67434895833333,82.0811328125,-0.45731811254008414,-0.45731811254008414,0.05833943543511444
15,246,1305031462.327540,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.327540.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.327540.png,turn_on,before,2,162.88718424479165,219.081396484375,0.29638549265025,0.29638549265025,0.03223477341639025
16,250,1305031462.459897,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.459897.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.459897.png,turn_on,peak,2,155.34334635416667,247.93855794270834,0.4675431579472198,0.464202065988734,0.10543671530087845
17,254,1305031462.591862,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.591862.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.591862.png,turn_on,after,2,155.45989908854168,248.40249348958332,0.4686625711183672,0.4686625711183672,0.0009217680517614735
