sample_id,timestamp,selection_source,phase,event_rank,layer,condition,channel,minimum,maximum,mean,std,active_ratio
1,1305031453.359684,uniform,,,conv1,clean,0,0.0,2.2335166931152344,0.2582535168490818,0.13312955557128395,0.9729817708333334
1,1305031453.359684,uniform,,,conv1,clean,1,0.0,2.5903940200805664,0.2392199100991158,0.23773619393563966,0.9286979166666667
1,1305031453.359684,uniform,,,conv1,clean,2,0.0,0.0,0.0,0.0,0.0
1,1305031453.359684,uniform,,,conv1,clean,3,0.0,0.5619441866874695,0.050784891678778005,0.09278081116752582,0.2585807291666667
1,1305031453.359684,uniform,,,conv1,clean,4,0.0,0.0,0.0,0.0,0.0
1,1305031453.359684,uniform,,,conv1,clean,5,0.0,1.4672225713729858,0.17103582200797102,0.09841305730246491,0.9551171875
1,1305031453.359684,uniform,,,conv1,clean,6,0.0,1.8312691450119019,0.6913513687064794,0.15017759557416918,0.9992838541666667
1,1305031453.359684,uniform,,,conv1,clean,7,0.0,0.0,0.0,0.0,0.0
1,1305031453.359684,uniform,,,conv1,clean,8,0.0,2.0566623210906982,0.2893813860854531,0.07964682277367892,0.9959765625
1,1305031453.359684,uniform,,,conv1,clean,9,0.0,0.0,0.0,0.0,0.0
1,1305031453.359684,uniform,,,conv1,clean,10,0.0,3.298480987548828,0.4264749892944851,0.3005560646345822,0.9587630208333333
1,1305031453.359684,uniform,,,conv1,clean,11,0.0,2.365464687347412,0.3629282546301716,0.21313745441357626,0.9720572916666667
1,1305031453.359684,uniform,,,conv1,clean,12,0.0,0.8568251729011536,0.08324462596139029,0.13170586367396847,0.3158463541666667
1,1305031453.359684,uniform,,,conv1,clean,13,0.0,0.0,0.0,0.0,0.0
1,1305031453.359684,uniform,,,conv1,clean,14,0.0,1.5119507312774658,0.13263753217930746,0.1348449035791611,0.89953125
1,1305031453.359684,uniform,,,conv1,clean,15,0.0,3.642232894897461,0.27458652690202845,0.1948355869503546,0.9375260416666666
1,1305031453.359684,uniform,,,conv1,clean,16,0.018346654251217842,0.9834202527999878,0.5166723212584959,0.2755785624063241,1.0
